Last_Name,First_Name,Date_of_Survey,Age,NPS_Scale,NPS_With_Decimal
Wright,Melissa,4/24/2022,94,9,9.5
Morris,Michelle,4/29/2020,91,8,8.9
Harrison,William,10/29/2020,90,8,8
Sullivan,Lydia,11/8/2021,89,8,8.6
Nelson,Fenton,4/22/2020,87,9,9.1
Gray,Julia,11/19/2019,94,9,9
Ryan,Elian,2/14/2022,86,10,10
Andrews,John,9/9/2022,100,8,8.9
Nelson,Kellan,4/14/2022,93,8,8.4
Perkins,Samantha,2/16/2021,98,10,10
Barrett,Lenny,4/16/2021,99,7,7.7
Dixon,Joyce,2/21/2022,95,9,9.7
Ryan,Caroline,1/3/2021,95,9,9.3
Grant,Samantha,4/1/2020,91,9,9
Wilson,Dexter,5/18/2020,98,9,9.6
Perkins,Tyler,10/20/2021,90,9,9.9
Brown,Nicholas,1/7/2022,94,9,9.7
Carter,Edith,11/23/2021,85,9,9.1
Cunningham,Deanna,5/10/2021,99,9,9.3
Dixon,Natalie,8/5/2021,87,9,9
Gray,Justin,1/23/2020,94,10,10
Adams,Amy,9/21/2022,99,0,0.9
Henderson,Chelsea,8/23/2020,99,9,9.4
Ellis,Rafael,1/22/2022,81,8,8.2
Hill,Jared,12/12/2019,97,9,9.7
Carter,Ashton,8/2/2021,82,10,10
Ferguson,Audrey,5/27/2020,81,8,8.5
Wright,Clark,8/2/2020,92,8,8.9
Sullivan,Mike,11/21/2019,100,9,9.3
Barnes,Edwin,4/4/2020,82,9,9.8
Hamilton,Kelvin,4/19/2020,90,9,9.6
Kelly,Oliver,4/28/2021,98,8,8.9
Stevens,Stella,8/11/2020,85,6,6.4
Campbell,Chloe,7/24/2021,95,8,8.5
Ferguson,Camila,2/10/2021,87,8,8.6
Craig,Camila,1/16/2021,80,10,10
Ross,Caroline,8/21/2020,87,9,9.1
Mason,Sabrina,8/21/2020,86,9,9.2
Ross,Kimberly,3/5/2021,91,9,9.5
Davis,Miley,7/15/2021,100,9,9.4
Howard,Walter,6/19/2022,91,8,8.3
Foster,Naomi,8/20/2021,94,9,9.7
Jones,Alexander,1/18/2020,95,9,9.9
Walker,Kirsten,1/27/2020,85,9,9.5
Allen,Jessica,2/4/2022,97,9,9.9
Cameron,Eric,7/1/2021,99,9,9.7
Alexander,Julian,9/30/2020,84,9,9.5
Farrell,Belinda,4/6/2020,82,9,9.4
Walker,George,6/28/2022,98,9,9.1
Farrell,Emma,5/31/2020,99,9,9
Fowler,David,2/9/2021,90,8,8.9
Kelley,Reid,9/17/2020,82,9,9.8
Robinson,Rosie,3/27/2022,86,9,9.3
Campbell,Kate,5/27/2021,83,9,9.4
Tucker,Kellan,1/23/2021,91,9,9.1
Foster,Tony,2/14/2020,81,9,9.9
Walker,Arianna,2/16/2020,99,9,9
Casey,Brad,1/22/2020,88,9,9
Robinson,Brianna,3/26/2020,81,9,9.6
Harrison,Sam,6/18/2021,90,7,7.4
Wright,Samantha,3/9/2020,95,9,9
Robinson,Melanie,3/5/2022,90,9,9.1
Barrett,Charlotte,4/22/2020,83,9,9.1
Cunningham,Elian,7/15/2022,85,9,9.8
Phillips,Arnold,5/15/2021,91,9,9.5
Miller,Chester,10/11/2021,86,9,9.4
Taylor,Camila,6/19/2021,92,8,8.7
Tucker,Adele,11/30/2019,86,8,8.8
Morris,Vincent,4/28/2020,88,8,8.6
Richards,Rosie,4/24/2022,93,9,9.4
Harris,Wilson,8/10/2022,95,9,9.6
Clark,Sofia,7/26/2022,98,9,9
Wells,Patrick,1/23/2021,92,9,9.3
Foster,Walter,5/13/2022,81,8,8.2
Evans,Patrick,8/6/2022,81,9,9.9
Morgan,Wilson,11/29/2019,83,9,9.6
Carroll,Abraham,5/29/2020,95,8,8
Barrett,Florrie,5/19/2022,83,9,9.4
Harris,Lydia,9/12/2020,100,9,9.3
Cameron,Victor,4/11/2022,99,7,7.9
Brooks,Frederick,4/10/2021,93,9,9.7
Kelley,Daryl,1/10/2020,95,0,0.6
Grant,Savana,3/14/2020,98,10,10
Gray,Natalie,8/23/2020,97,9,9.4
Montgomery,Elian,1/1/2020,86,9,9.3
Wright,Alexander,4/30/2020,83,8,8.5
Crawford,Savana,9/13/2020,89,10,10
Phillips,Joyce,6/18/2022,99,9,9.1
Ferguson,Owen,6/10/2021,91,10,10
Ryan,May,11/2/2020,95,9,9.4
Anderson,Kirsten,7/6/2020,85,9,9.7
Sullivan,Chelsea,5/6/2022,97,10,10
Thomas,Brianna,10/9/2021,81,9,9.3
Johnston,Ted,1/10/2022,96,10,10
Moore,Henry,3/31/2021,91,9,9.1
Watson,Lily,6/20/2020,99,8,8.8
Warren,Kellan,1/10/2022,92,9,9.2
Hall,Ned,6/16/2020,94,9,9.1
Miller,Wilson,9/30/2022,92,8,8
Armstrong,Michael,7/31/2022,82,9,9.7
Phillips,Ryan,7/14/2022,87,9,9.8
Mitchell,Sienna,1/26/2020,90,9,9.5
Taylor,Daryl,7/28/2020,90,10,10
Wright,Ashton,1/23/2022,85,9,9.2
Scott,Carlos,9/23/2022,86,9,9.4
Evans,Lucia,1/21/2021,99,9,9.9
Mason,Fenton,2/6/2021,99,9,9.1
Jones,Nicholas,10/14/2021,82,9,9.5
Allen,Mary,8/28/2020,97,9,9.6
Farrell,Justin,4/12/2020,80,10,10
Murray,Aida,10/26/2020,93,9,9.8
Morrison,Amanda,8/13/2020,90,8,8
Nelson,Frederick,6/4/2020,84,10,10
Spencer,Emma,8/26/2021,83,9,9.1
Douglas,Rafael,11/17/2019,83,8,8.4
Lloyd,Amanda,4/20/2022,95,10,10
Ferguson,Abraham,8/20/2020,84,9,9
Cooper,Hailey,9/3/2020,87,9,9.2
West,Abraham,11/15/2019,90,10,10
Chapman,Ada,3/25/2020,92,10,10
Carter,Daryl,7/11/2021,99,0,0.5
Hunt,Elian,11/6/2019,82,8,8.8
Murray,Amy,10/1/2021,98,8,8
Watson,Roman,6/6/2020,91,9,9.3
Johnson,Belinda,12/24/2021,88,0,0.9
Morgan,Tyler,11/26/2020,89,0,0.5
Thompson,Tara,11/18/2019,87,9,9.2
Gray,Kristian,6/14/2022,94,9,9.5
Taylor,Melanie,9/22/2022,98,7,7.5
West,May,2/13/2020,94,10,10
Douglas,Alexia,2/24/2020,82,9,9.4
Hawkins,Ashton,3/13/2021,80,8,8.6
Phillips,Nicholas,6/23/2021,94,9,9.8
Gibson,May,12/27/2020,91,10,10
Howard,Darcy,11/12/2020,90,9,9.7
Montgomery,Byron,7/10/2022,82,9,9.8
Cunningham,Dainton,3/12/2020,86,9,9.5
Harris,Chester,12/16/2020,90,10,10
Thomas,Myra,6/22/2021,98,0,0.7
Ross,Luke,3/25/2021,94,10,10
Thomas,Anna,5/3/2020,83,0,0.9
Wells,Rubie,8/2/2021,98,10,10
Cameron,Vincent,4/7/2021,81,9,9.8
Barnes,Lana,1/5/2021,92,9,9.3
Barnes,Kelvin,2/28/2020,94,10,10
Davis,Kate,4/3/2021,99,8,8.7
Grant,Miller,7/15/2021,97,10,10
Tucker,Dexter,1/27/2020,99,0,0.5
Elliott,Annabella,12/20/2019,83,9,9.5
Kelley,Dexter,3/3/2021,96,9,9.4
Anderson,Rosie,8/2/2021,88,10,10
Riley,James,4/20/2022,98,10,10
Johnson,Lucy,9/28/2021,81,8,8.6
Owens,Adrianna,8/25/2022,98,9,9.6
Cameron,Jacob,10/26/2021,92,8,8.4
Walker,Chester,7/10/2021,89,8,8.1
Tucker,Tara,11/12/2019,83,9,9.4
Thomas,George,11/11/2020,95,9,9.2
Hall,Evelyn,4/24/2022,87,8,8.2
Andrews,Ted,4/19/2021,82,9,9.4
Perry,Andrew,7/16/2022,98,9,9.4
Richardson,Sam,1/2/2020,96,9,9.8
Wells,Victoria,2/8/2020,84,9,9.6
Brooks,Rebecca,5/22/2022,94,9,9
Farrell,Vanessa,4/2/2020,99,9,9.7
Reed,Blake,2/15/2022,96,8,8.5
Tucker,Victoria,6/25/2022,91,9,9.8
Morris,Steven,7/16/2021,94,10,10
Bailey,Briony,2/8/2022,84,8,8
Hill,Daisy,6/28/2022,95,0,0.5
Ellis,Alford,9/27/2021,81,9,9.7
Hawkins,Adison,11/20/2021,91,9,9.9
Howard,Sawyer,3/7/2021,88,9,9.3
Craig,Jessica,9/10/2020,84,10,10
Kelly,Melissa,4/22/2020,85,9,9.5
Lloyd,Freddie,4/9/2020,82,9,9.9
Parker,Camila,11/1/2019,93,9,9.5
Cameron,Kelvin,12/17/2019,100,9,9.4
Casey,Paul,1/29/2022,99,9,9.1
Douglas,Maria,4/30/2021,93,9,9.6
Ferguson,Andrew,1/25/2022,99,9,9.7
Harris,Samantha,5/24/2021,89,9,9.2
Holmes,Maximilian,10/14/2020,98,10,10
Turner,Sophia,8/17/2022,81,0,0.6
Casey,Isabella,10/10/2021,98,9,9.3
Campbell,Alisa,6/6/2020,88,9,9.3
Payne,Daisy,6/11/2022,87,9,9.5
Hamilton,Julia,6/12/2022,93,0,0.4
Ferguson,Stella,9/18/2020,90,9,9.9
Edwards,Abigail,5/9/2020,84,9,9.6
West,Kelsey,12/29/2020,98,8,8.2
Baker,Jessica,1/2/2022,84,9,9.2
Fowler,Thomas,4/8/2022,88,9,9
Tucker,Adrianna,3/9/2022,95,8,8.2
Moore,Lydia,12/14/2019,81,9,9.7
Carter,Nicole,10/15/2021,82,10,10
Walker,Antony,3/28/2020,94,9,9.6
Andrews,Edwin,6/21/2021,100,7,7.2
Hawkins,Steven,5/19/2020,93,0,0.4
Holmes,Oliver,11/22/2021,84,8,8.1
Wright,Melissa,3/13/2020,81,9,9.5
Morris,Michelle,7/4/2021,96,9,9
Harrison,William,5/14/2020,95,9,9.8
Sullivan,Lydia,9/11/2022,100,9,9.4
Nelson,Fenton,12/9/2020,94,9,9.4
Gray,Julia,8/8/2020,80,10,10
Ryan,Elian,5/22/2022,99,8,8.7
Andrews,John,3/4/2020,83,8,8.8
Nelson,Kellan,7/28/2022,97,9,9.7
Perkins,Samantha,4/23/2020,87,9,9.7
Barrett,Lenny,9/1/2021,98,9,9.8
Dixon,Joyce,11/16/2019,100,8,8.4
Ryan,Caroline,9/3/2021,97,9,9
Grant,Samantha,12/10/2019,81,9,9.4
Wilson,Dexter,8/15/2020,92,9,9.1
Perkins,Tyler,11/26/2020,82,0,0.8
Brown,Nicholas,10/7/2020,90,9,9.5
Carter,Edith,3/24/2022,93,8,8
Cunningham,Deanna,10/30/2021,90,10,10
Dixon,Natalie,6/28/2020,83,8,8
Gray,Justin,11/19/2020,90,9,9.3
Adams,Amy,1/21/2022,86,9,9.4
Henderson,Chelsea,2/16/2022,95,9,9.5
Ellis,Rafael,6/5/2022,95,8,8.5
Hill,Jared,2/15/2022,97,8,8.3
Carter,Ashton,11/18/2020,81,10,10
Ferguson,Audrey,6/10/2020,83,8,8.4
Wright,Clark,4/6/2020,91,9,9.3
Sullivan,Mike,12/12/2019,97,10,10
Barnes,Edwin,11/9/2020,90,8,8.8
Hamilton,Kelvin,8/26/2020,89,8,8.4
Kelly,Oliver,11/27/2021,81,8,8.6
Stevens,Stella,7/1/2021,91,9,9.1
Campbell,Chloe,12/23/2019,97,8,8.5
Ferguson,Camila,5/27/2022,97,9,9.8
Craig,Camila,5/20/2020,88,9,9.9
Ross,Caroline,6/14/2020,81,8,8.3
Mason,Sabrina,3/2/2022,98,9,9
Ross,Kimberly,8/4/2020,90,9,9.6
Davis,Miley,9/8/2021,80,7,7.1
Howard,Walter,3/3/2020,84,9,9
Foster,Naomi,4/25/2020,81,8,8.1
Jones,Alexander,7/29/2020,97,9,9.1
Walker,Kirsten,10/1/2022,88,10,10
Allen,Jessica,6/10/2022,87,10,10
Cameron,Eric,1/24/2022,80,9,9.1
Alexander,Julian,3/20/2020,83,9,9.5
Farrell,Belinda,8/13/2020,97,9,9.9
Walker,George,2/19/2022,99,9,9.1
Farrell,Emma,9/4/2020,81,9,9.7
Fowler,David,8/12/2022,87,9,9.3
Kelley,Reid,8/31/2020,96,9,9.3
Robinson,Rosie,7/18/2022,87,9,9.5
Campbell,Kate,1/4/2021,91,9,9.1
Tucker,Kellan,3/20/2021,88,9,9.8
Foster,Tony,12/29/2020,91,10,10
Walker,Arianna,2/28/2020,82,9,9
Casey,Brad,9/15/2021,88,10,10
Robinson,Brianna,6/19/2021,95,9,9.2
Harrison,Sam,5/16/2020,82,9,9.5
Wright,Samantha,6/27/2020,100,9,9.9
Robinson,Melanie,11/4/2020,87,9,9.4
Barrett,Charlotte,5/9/2021,83,9,9.1
Cunningham,Elian,2/21/2021,89,9,9.8
Phillips,Arnold,11/24/2019,98,9,9.1
Miller,Chester,11/5/2019,85,9,9.4
Taylor,Camila,1/10/2020,85,0,0.8
Tucker,Adele,6/19/2021,95,9,9.9
Morris,Vincent,9/15/2022,95,9,9.7
Richards,Rosie,11/11/2019,95,8,8.3
Harris,Wilson,10/11/2020,91,9,9.5
Clark,Sofia,11/21/2019,97,8,8.9
Wells,Patrick,7/22/2022,85,9,9.8
Foster,Walter,12/5/2019,82,8,8.1
Evans,Patrick,7/19/2022,84,10,10
Morgan,Wilson,3/24/2022,80,9,9.2
Carroll,Abraham,10/28/2020,84,9,9.2
Barrett,Florrie,10/18/2021,85,9,9.1
Harris,Lydia,9/21/2020,94,10,10
Cameron,Victor,12/9/2021,92,10,10
Brooks,Frederick,8/4/2021,97,9,9.1
Kelley,Daryl,11/6/2019,98,9,9.9
Grant,Savana,2/9/2020,86,10,10
Gray,Natalie,4/18/2020,82,10,10
Montgomery,Elian,12/14/2019,86,0,0.3
Wright,Alexander,9/8/2022,92,8,8.8
Crawford,Savana,3/27/2020,89,9,9.7
Phillips,Joyce,3/21/2022,81,10,10
Ferguson,Owen,2/26/2020,82,9,9.8
Ryan,June,10/1/2020,92,9,9.6
Anderson,Kirsten,6/10/2021,87,9,9.8
Sullivan,Chelsea,8/28/2020,81,0,0.1
Thomas,Brianna,1/19/2020,80,10,10
Johnston,Ted,2/28/2022,90,10,10
Moore,Henry,5/19/2020,83,9,9.8
Watson,Lily,12/27/2020,97,8,8.6
Warren,Kellan,1/19/2021,94,8,8.4
Hall,Ned,7/27/2020,95,0,0.8
Miller,Wilson,8/6/2020,99,9,9.2
Armstrong,Michael,11/28/2019,83,8,8.3
Phillips,Ryan,12/10/2020,80,9,9.3
Mitchell,Sienna,9/10/2021,91,9,9.5
Taylor,Daryl,8/7/2022,85,9,9.8
Wright,Ashton,1/24/2020,87,9,9.9
Scott,Carlos,10/7/2020,91,9,9.5
Evans,Lucia,5/28/2022,99,10,10
Mason,Fenton,5/31/2021,90,8,8.8
Jones,Nicholas,2/20/2021,93,9,9.3
Allen,Mary,12/9/2019,95,9,9.7
Farrell,Justin,9/25/2022,81,9,9.1
Murray,Aida,5/24/2020,82,9,9
Morrison,Amanda,3/24/2021,81,10,10
Nelson,Frederick,2/24/2022,94,9,9.8
Spencer,Emma,12/28/2019,92,8,8.3
Douglas,Rafael,6/21/2020,87,8,8.9
Lloyd,Amanda,8/30/2020,99,9,9.6
Ferguson,Abraham,7/10/2021,86,10,10
Cooper,Hailey,11/12/2020,98,9,9.4
West,Abraham,3/4/2022,80,9,9.5
Chapman,Ada,6/27/2022,86,10,10
Carter,Daryl,10/2/2022,90,10,10
Hunt,Elian,5/23/2022,83,9,9.5
Murray,Amy,4/28/2020,100,10,10
Watson,Roman,5/9/2022,85,9,9.4
Johnson,Belinda,10/24/2020,88,6,6.2
Morgan,Tyler,1/20/2022,86,9,9
Thompson,Tara,2/22/2021,92,9,9.3
Gray,Kristian,2/18/2020,81,10,10
Taylor,Melanie,4/3/2021,87,9,9.5
West,June,4/18/2020,84,9,9.8
Douglas,Alexia,12/8/2019,83,9,9.8
Hawkins,Ashton,4/15/2022,97,9,9.6
Phillips,Nicholas,7/14/2022,86,9,9.8
Gibson,June,2/24/2020,98,9,9
Howard,Darcy,9/13/2021,81,8,8.9
Montgomery,Byron,5/29/2022,98,10,10
Cunningham,Dainton,10/26/2020,87,8,8.5
Harris,Chester,10/19/2021,83,9,9.9
Thomas,Myra,7/19/2020,87,10,10
Ross,Luke,12/21/2020,89,9,9.7
Thomas,Anna,9/28/2020,88,9,9.9
Wells,Rubie,8/11/2021,88,9,9.7
Cameron,Vincent,2/2/2022,84,9,9.6
Barnes,Lana,1/4/2020,85,9,9.5
